model_id,model_name,model_type,owner_function,business_line,materiality,complexity,usage_reliance,data_quality_risk,scoring_rationale,weighted_score,tier,validation_frequency,monitoring_frequency,sign_off_required,validation_depth
MDL-001,Retail Credit PD Scorecard,Logistic regression (WoE scorecard),Credit Risk,Retail Banking,4,2,4,2,"Feeds both credit decisioning and regulatory capital (IRB); moderate complexity (interpretable scorecard);decisions are largely automated below a referral threshold; data is internal bureau/application data, well governed.",3.3,Tier 2 (Medium),Every 18 months,Quarterly,Model Risk Committee,Full independent validation (reduced benchmarking scope permitted)
MDL-002,Wholesale LGD Model,Regression on workout recovery data,Credit Risk,Corporate Banking,4,3,3,3,Directly drives loss provisioning and regulatory capital; moderate-high complexity due to segment-specific recovery curves; used as a strong input but with analyst overlay; recovery data is sparse and judgmental.,3.4,Tier 2 (Medium),Every 18 months,Quarterly,Model Risk Committee,Full independent validation (reduced benchmarking scope permitted)
MDL-003,Market Risk VaR Model (Equity/FX Trading Book),Historical Simulation VaR,Market Risk,Markets,5,3,5,2,Directly determines regulatory trading capital requirements; moderate complexity; fully automated daily capital calculation with no human override; relies on well-governed internal trade and price data.,4.2,Tier 1 (High),Annual,Monthly,Model Risk Committee,"Full independent validation (conceptual soundness, outcome analysis, benchmarking, sensitivity testing)"
MDL-004,IFRS 9 / CECL Expected Credit Loss Model,PD x LGD x EAD lifetime ECL engine,Credit Risk,Finance,5,4,5,3,Directly drives the loan loss allowance on the balance sheet and reported earnings; high complexity (multiple sub-models combined with macro scenario overlays); output flows almost automatically into financial statements; depends on forward-looking macro data with inherent uncertainty.,4.55,Tier 1 (High),Annual,Monthly,Model Risk Committee,"Full independent validation (conceptual soundness, outcome analysis, benchmarking, sensitivity testing)"
MDL-005,AML Transaction Monitoring Model,Rules engine + anomaly detection scoring,Compliance,Financial Crime,5,4,4,4,"False negatives carry severe regulatory and reputational consequences (sanctions, fines); hybrid rules/ML complexity; alerts drive investigation decisions with analyst review (not fully automated); depends on noisy, high-volume, frequently-changing transaction data.",4.4,Tier 1 (High),Annual,Monthly,Model Risk Committee,"Full independent validation (conceptual soundness, outcome analysis, benchmarking, sensitivity testing)"
MDL-006,Fraud Detection Model (Card Transactions),Gradient boosting classifier,Compliance,Retail Banking,4,5,5,4,"Direct customer and financial impact from false positives/negatives; high complexity (black-box gradient boosting, hard to explain individual declines); near-real-time automated decisioning with minimal human override; depends on fast-evolving fraud patterns and third-party data feeds.",4.5,Tier 1 (High),Annual,Monthly,Model Risk Committee,"Full independent validation (conceptual soundness, outcome analysis, benchmarking, sensitivity testing)"
MDL-007,CCAR / Stress Testing Credit Loss Model,Satellite regression on macro scenarios,Credit Risk,Finance,5,4,4,3,Directly informs capital planning and is subject to direct regulatory/supervisory scrutiny (CCAR); high complexity due to macro scenario linkage; results heavily inform but do not single-handedly determine capital actions; relies on macro data with structural uncertainty over stress horizons.,4.3,Tier 1 (High),Annual,Monthly,Model Risk Committee,"Full independent validation (conceptual soundness, outcome analysis, benchmarking, sensitivity testing)"
MDL-008,Interest Rate Risk in the Banking Book (IRRBB) Model,Cash flow / duration gap model,Market Risk,Treasury,4,3,3,2,"Informs balance sheet hedging and capital adequacy assessment; moderate complexity (behavioral assumptions on non-maturity deposits); used as a key input to ALCO decisions with committee judgment; data is internal balance sheet data, well governed.",3.3,Tier 2 (Medium),Every 18 months,Quarterly,Model Risk Committee,Full independent validation (reduced benchmarking scope permitted)
MDL-009,Liquidity Stress Testing Model,Cash flow runoff model under stress scenarios,Liquidity Risk,Treasury,4,3,3,2,"Directly informs the bank's liquidity buffer and contingency funding plan; moderate complexity (runoff assumptions by deposit/funding type); informs ALCO decisions with judgment overlay; internal funding data, well governed.",3.3,Tier 2 (Medium),Every 18 months,Quarterly,Model Risk Committee,Full independent validation (reduced benchmarking scope permitted)
MDL-010,Operational Risk Capital Model (AMA-style),Loss distribution / scenario-based simulation,Operational Risk,Finance,3,4,3,4,"Contributes to regulatory capital but typically a smaller capital component than credit/market risk; high complexity (statistical loss distribution modeling, scenario blending); informs capital calculation with significant expert judgment overlay; relies on sparse internal loss data plus subjective scenario inputs.",3.35,Tier 2 (Medium),Every 18 months,Quarterly,Model Risk Committee,Full independent validation (reduced benchmarking scope permitted)
